Tweets,OFF
هوا كدا يبقي انا الوحيد تقريبا تويتر لسه منزلتش مصطفي قمر جيلكو ياشويه مترحمونا بقا,0
هالله الله ههههههههههههههههههههههههههههههههههههههههههههه,0
بايع الكليجا حتي المزز حرام نقول عنهم مزز,1
وردهه ححلوهه بوكيهه جرجير,0
بتتكلمي ليه ابله كنت اسالها شغله متساليهاش اسالني انا انزين عندج رقم عزوز اللي بالبدع,0
ههههه كووووول خرا عرصا,1
يفهمني العلم,0
قالت مريم ياليتني تعلم بطنها نبي الكربات تحمل طياتها كرامات فلا تياسوا,0
خلاص علامه رءيس لجنه الحكام مكنتش اعرف لازم الكتف سابق الايد وقلت وبعدها فعلا انا غلطت فالحوار نسيت امسح التويت الواحد بيفهم احسن بيفهم عادي يعني يغلط فحاجه,1
اسوا شيء ممكن اواجهه قالي سوي شيء والا قوميني بالوقت الفلاني وانسي احسه اختبار وراح ضيقه الصدر اللي تجيني واول مره انسي بالعاده احط منبه للاشياء هالمره قلت مايحتاج وطلعت حماره يحتاج منبه,1
شعب مصر النوم تفوق بقي تشوف الثوره قامت الخرطوم انت نايم بالمندار شقع بقع ديل الفار شعب ثور داهيه تسمك شيل اصول اسباب همك عصابه بتمص دمك الاسم ضباط احرار شقع بقع ديل الفار,1
عمرك شفت اسد اخضر وبيض طبعا الجواب الضفادع ينطبق المواصفات,0
اغنيتي الم فضله اللي ساعات اتحمس وارقص بوضعيه الجلوس ماعاد اقدر ارقصها,0
روحححي ذاكري بيححل عنك رفرفييي والا اللي يرقصون,0
ناس لازم تعاملهم معامله اخر درج الدولاب ايوه ايوه اللي بتقفله برجلك,0
اشم ريحه كشنه,0
نوره القحطاني تحب القحاطين اداريه قحطانيه تجي متاخر عادي وحده ثانيه وعنصريه قبيح افضح معنفك,1
بايع الكليجا الداشر منبوذ الجميع المؤدب عمله نادره,1
اتزوجك احببتك يوما وسوف اتزوج فتاه اختيار امي اضمن قالت لامك المعسول وعشقك رياتنا الجميله شانه تنسي الزمن اعذريني انا ذاهب ولن اعود اليكي قالت ساعذر رجولتك وجدتها,0
عفوا,0
باسمي اتبرئ الاناث ماعدا النسويات,1
كول هوا حمار,1
شريفه شريفه شريفه شريفه,1
يباله شان يرد عقله شوي,0
بايع الكليجا هالمواضيع التافهه تطلع ترند والرجل الله يستر عادي مايستاهل الضجه اللي صارت الخير ياعرب غريبه مواضيعهم,1
ولاقوه بالله استغفر الله مافي حياء خجل اخر الزمان الحريم يطاردون الرجال عييييب مالت اللي ربتكم بنت تتغزل برجل فهي خارجه الادب والذوق الفطري,1
اقرفووووونا,1
هذي الحلقه بينت فيك تضخم الجهل جاهل يقول تنويري الارض اشكالك,1
احزن اغني اكتشف صوتي اسوا مشاكلي ابتسم,0
اله يكسر حظك ملعون الجدف ناقص الرجوله مفهوم الرجول الذكور يحتاج اعاده تاهيل عاجل,1
عبدالعزيز غصب يخلي الكل يغنوا اصواتهم نشاز حياتك,0
حضرتك خلاص الفات مات,0
والله مافيه مسعورين العيال,1
افف ويع هالخياس والعفن احس صارت ريحه عباتي ريحتها الخايسه,1
يموتون غيرو الاسم,0
الخير لكل الناس اللي بيقوموا وماقد شبعوش نوم,0
صوووتها لحاله بيخليك تستفتفرررررغ,1
احب انوه لاخوه البهايم هيفهم غلط انا بطبل بحفل متخلفين هبل وبس شكرا,1
والله شنو,0
الحنين بعدو معي زعلان ومش راضي مني تطلعي امبارح حلفلي بعيونك الحلوين انك لعندي ترجعي الاغنيه خيااااال الخير,0
بسم الله الدكتور داز عشان يذكرنا بداوم باجر يعني درينا خلاص,0
حمار يسحب جنيفر عشان انجلينا,1
لاتخصون صراحه اللي بركن القصيم يفتحون النفس وافخم ركن وكل ابو لبي والله القصمان بعدين وحده القصمان لاتخقين عيالنا بايع الكليجا,1
اصبحواا,0
كنا ندور الدوام وقت المطر ننبسط والحين يبون يفرفرون الشوارع ويزاحمون المداومين,0
صلاه الجنازه القادمه انت فال الله فالك الله حسن الخاتمه,0
عبدالفتاح عسيري هالتصريح المفروض يقعد دقيقه بالدوري السعودي يروح الدوري الاسباني والا الانجليزي,0
اخونجي متصهين,1
كامل وانا جالس اتصل خدمه العملاء كالعاده محد يرد,0
تقريبا عرفت اصلا,0
بدنا وحده عبشار الاسد الخنازير يكونوا وحده ميشيل عازر وحده وليد المعلم وحده لافروف ووحده بوتين,1
يلعن امكم بيقيتو,1
اهي جاتلي انا ومش عارفه افتح كتاب ويالنسبه للحقيره فهي ضايعه وبتنسي حاجه وتلاقيها نسيتك دلوقتي ايه مريم عامله ايه وحشتيني وحشتيني وحشتيني,1
علوا تخرسي انت وكل اللي يرد الهبل تبعك فرق معك تحكي الموبايل تشتغل الشطف والكنس والمسح عمليات معقده مثلا بتصير عالساكت وشر دخل الموبايل بغلا المواصلات بدك ياها تبيع موبايلها مثلا بدل تشكي الغلا,1
جبران باسيل كذاب منافق عبد للدينار والدرهم,1
ابراز الشيء اللي ماله لزمه يبرز الناس دليل كافي للنقص,0
بايع الكليجا ماشاء الله الله يحفظه لاهله معقول التجمهر بنات كمان اوك اعجبتي انطمي لازم تقلين ادبك وتصورين بخقه ومادري ايش,1
بايع الكليجا قلنا فيكم محنه للهدرجه,0
الرخيص رخيص,1
متغير علينا ترد افا ماتوقعتك,0
بايع الكليجا استغرب حثاله البنات جيت الرياض يومين وشفت العجب التصوير سيلفي اعمم حثاله,1
اوكي حتي الشباب يغازلون بسس البنات يصورون ويرفعون اصواتهم بايع الكليجا,0
البنات لله راجعون كانه الكلام عني,0
خدوا بالكم لعبه السلايم اللي انتشرت ايد اطفالنا ارموها فورااااا,0
الايس المنيشن تشيمبر,0
شكل والله استبعد عايله السموا كلهم,0
متخيله انو يحط وجه افتار,0
رده فعله شاف اخوه يطلع قرض عشان يبني مسجد بااسم ايفانكا,0
وانا امدح فيك بالقروب واقول خلوه يشيل مناظره اللي لازقه بوجهه وتمعنو تراه قطعه العلم وشك ياطع الخميره البيت اديني صوره عيال ينامو اشوف فيك,1
بحكلهم وبردوش نعمل معهم القاضي,0
حصان البوني اصغر حصان العالم مقارنه ابناء عمومته العربي والبربري والانجليزي,0
شنو هذي شخصيه يديده,0
محاضرتي اللي معتذره فجاه ارسلت محاضره وانا كنت مخططه اداوم عشان محاضره خييير ايش الهبل,1
بايع الكليجا اشغلتونا ماكانكم شفتوا ناس حلوين بحياتكم فشلتونا والله العظيم مضحك وبعدين ماشوف الاوفر اللي سويتوه الادمي طلع بالقنوات شفاحتكم ناس شايفه خير,1
تهبين تضبطينه تطلقنا عيب تحبينه وراي,0
فكره طعمه عادي ومو مميز عندهم اللي طعمها حلو وغريب وال تبعهم حرج,0
بستغرب ناس بتزعل عشان بيرد سريع احتمال مشغول مافاضي يرد لان عندو حاجات اهم منك احتمال عندو نفسيات اسي سنه جايه صدقني فردتي يفرق معاك,0
ياخي دايم اجيب معي قلم احتياط للدوام عشان يبغاه فجاه وبنص الدوام كلها مسروقه لاحد يتمشي ومعه قلم رايح للبقاله,0
عبدالعزيز الغيامه اصلا انت بالذات ظاهره صحيه انك تطلع الشاشه,1
اااييييي,0
خلاص خلصت انا الباقي والدور دور وحده سعيده معك ويعجبها تفكيرك الله المستعان,0
انت ليش فاصله ونقطه بتدحشي المقاومه بكلامك بكفيك حقد اسود وبخ المقاومه لحاكمه البلد احكي احبابك حمار خليهن يغيرو القوانين والانظمه بعدين احكي,1
تعتب هيدا اسمه ابو صرماي,1
قافله السعوديه العظمي تسير شريفه قذر الصغيره تنبح,1
انا ايش صحاني,0
الاساس ليش اخذ وحده تصلي,0
مزهريه راسك صرلي اسبوع رتوت ومنشن الك وانتي بالك,1
ارفعوا العشره مشكلتكم الو علاء الخواجه صاحب الصرامي,1
خايف يسوو شيله بايع الكليجا,0
والله ماتخسي,1
قلتي تبين تطلعين معاي شوفيلج ياخذج,0
الخير لاولئك يناموا لبضع ساعات واستيقظوا اجتهادا وطلبا للعلم عزاء للنائمين,0
لاتخصون صراحه اللي بركن القصيم يفتحون النفس وافخم ركن وكل ابو لبي والله القصمان بعدين وحده القصمان لاتخقين عيالنا بايع الكليجا,1
انت تكتب لتفرجي الناس انك بتطااع بالكتب وانت تعرف عير لغه الصرامي احقر المخلوقات,1
شكلي حلو انا رئيس عصابه,0
هاذا غبي والا وضعه بدل يحضن الطفل ويحسسه بالابوه يقوله,1
بايع الكليجا بنت وقفت بائع الكلبجا وصورته تعيد النظر تربيتها اعوذ بالله ماعاد حياء خجل عينك بعين الرجال لدرجه حاط الكيس وجهه كثر مانقرف التصوير وشذا الانحلال انتي عايشته تربيه للاسف,1
انا مستني الحلقه بقالي سنتين بضان ابن البضان سربت الحلقه,1
انفولو اشغلتنا بهاالقضيه مافي الدنيا قطر كفايه تبادل اتهامات وشتائم,0
لطيف قله الحياء اللي قاعده تصير نسال الله السلامه والستر بايع الكليجا,1
احا شكله عايز يتناك مراته ابن القحبه ديوث بيعرض مراته وبيقولها قوليلهم تعالو نيكوني,1
نظام انا راااقده مندي تعال اطرح,0
عليج وعلي نغل يترحم ابوج النغل,1
بذا الزمن كلهم متساوين بقله الادب والله,1
معرض الرياض الدولي للكتاب الله يعافيكم بنات تسوون معرض الكتاب اللي سويتوه الجنادريه عشان يتاذي منكم ويدعي عليكم انتبهوا ابسط غلطه ممكن تسبب دعوه تحرمك اشياء بحياتك تسوي ابد احترموا المكان والناس اللي واهلك ونفسك بائع الكليجا,1
الاكثر حضورا المسرح الطبال اسم الله حولك حضورك دائم ومستمر طبال بحجم طرطور,1
اسكب الخمر سلطنه الاسلام الوسطي العادل المتعايش المملكه سوت طلعت غلطانه صحيح انك كلب المهم خلصت نبح المملكه حاول تنصح بلادك وتستنكر وجود الخمر بترخيص الدوله لانه يفترض انك ماتعيب غلط الناس وانتم مسويين,1
ليش زعلان,0
والبراطم المنتفخه,0
وييتتت انت الشخص المهم للامانه ديث نوت رهيييبببب,0
اوف ويش الملعون لاتسكت,1
لنو جبان يقدر يرد,1
حيواانه انتي وربي,1
ياريت,0
قرف والي عنده مخفات صدق انا انسحب تيم البنات,1
الرقم الهاتف المطلوب مغلق خارج نطاق التغطيه الرجاء معاوده الاتصال فيما صخونه لهيج وصخ,0
ترا نفتح الشبابيك تخرجي عطرك,0
المشكله دلوقتي جماعه بكره الجمعه بعده الجمعه وخد التقيله بقي بكره كمان الجمعه,0
بايع الكليجا خلاص خلاااص الوضع اووو مرره الرجال باين طايق الوضع,0
سءال اخر مره زنان زور ايميل والا ماراح تجاوب لانك تعرف الجواب زين بكايه ابو صياح قوطي فاضي مءامره هاه,1
منظر مقرف تلقي شخص يدعي اهل السنه يمجد الحوثي قتل اهل السنه باليمن,1
مات دفاعا وحده اليمن لعروبته هلك خائنا لوطنه متوشحا بالخزي والعار,1
شركه سامسونج شركه بنت وسخه وموبايلاتها اوسخ موبايلات المجره,1
صغير وراح تبقي صغير,1
الله اوقحكم ايش نوعيه البنات عليكم الحمد لله اني بعيد عنكم,1
مبروووك خليتوها ترا حتي وضاح خسران انديه لندن,0
تجمع المهنين مرفعا الانتقادات عمر الدقير برهان وجه ليك الدعوه لاجتماع اكرب قاشك وابقي مارق ونحن مارقين الميدان مجمجه منك برهان عمر الدقير بنوريكم الكفت القرد منو,1
راك قلتها قنوات العار يجيك منهم,1
بايع الكليجا لعن الله المحنه تسوي اشياء,1
مراهنه الحنين جاب اجلنا سنين,0
عارفين نعيش نسافر نذاكر نحب نتحب زفت دماغنا,1
ابله الابتدائي دايم تضرب البنات واخذت نصيبي المهم اني كنت طول عمري اقول اشوفها وانا كبيره انتقم واضربها عمري شفتها رمضان جايه المسجد تصلي التراويح كرسي متحرك ورجل بالدنيا ورجل بالاخره قلت فقلبي الله يسامحك افضح معنفك,1
شلون اعيد هالصباحيه,0
حظكمم صووبب,0
صحيح الكل يعرف يحدث مصر الخونه والاخوان والجاهلون مثلك مصر بتتغير مصر بتنتصر تحيا مصر ونصيحه اصلحي بيتك وملكيش دعوه ببيت الجيران مكونتيش انطردي بيتك,1
للاسف حاجه الواحد بيحبها يتعلق بيها بتروح,0
عشان تصدقوني قلت ليكم اخاف هالدكتور خوفي ماكان عبث,0
وعع,0
غامض طلع صاحي سنابات غازي المطيري,0
بسم الله ماشاءالله غطو شغله المباحث بالله يقدرون يجيبون اسئله اختبار القدرات,0
المصريين اللي بيدافعوا بلادهم ورافضين تطاول حيزبونه ليها قيمه اكيد انضف الزعلان وداخل يبطبللها بلوك ليليان داوود,1
ياربي رني يارب,0
وضع الفحله الحين عندي بالخاص قاعده خرقها حتي ينزل لحالو خليها تلحسن الارض,1
برضو خروفات,1
بوستر سيئ مافيه تناسق وشكله غبي مره شوفوا بوسترات القرن العظيم فرق كبير البوستر التسليكي,1
موزع العقول حياءهن وتلاشت الاخلاق اختفت صانعه الرجال ومربيه الاجيال سائبه الجنادريه وشوارع المملكه ترصد الشباب الوسيم وتلاحقه بالتصوير والترقيم لترضي نفسيتها المحطمه صفه عانس قبيحه بليتم فاستتروا بايع الكليجا,1
انت حمار حزب الله لضلك تهاجمو انقبر بوزك وكول خري صرمايه,1
بعدي حبي,0
جماعه ابشركم اختبرت فيزياء وجبت العيد رمضان عليكم,0
ياربي الصباح تطلع بوجهي ناس تقول شيخه حشي فيني,0
فشلتونا انا براء هكذا مجتمع مقزز بايع الكليجا,1
الكلمه تود يتوقف الجميع استخدامها فشخ,1
صادق يسب الصحابه ويدعي تحريف القران ويتهم عائشه بالزنا نسميه مسلم مطور مثلا بيض الله وجهه كلامه صحيح وماقال الحق ياالبقره,1
بايع الكليجا سخافه تثيرها خفيفه عقل نعجه وتتبعها قطيع النعاج والماعز زمان العجايب,1
الناس,0
الله يسوود وجيهكم مشافيح بايع الكليجا,1
ياخي لااااااااااااااا لاااااااااااااااااااااا اوفر مجتمع غريب يارب زوجتي المستقبليه ماتكون وحده هذيل,0
فخامه الرئيس صرمايته عراسك وراس سليلتك وراس بتحبيه بلا شرف وسخه معتوهه صرمايته اشرف منك سليلتك,1
سيببوو ليي ودد الحرراامم دهه,1
علوم علوم علووووم تشيب الراس واخرياه انت يابو شوشه تعقل,1
الحمير العرب القامعين السلطه انحنوا لكبير لصغير,1
بايع الكليجا حيا انحطاط مشف ماشافوا خير بالفطره الرجال استحي وانتم فشلتونا الله يفشلكم,1
المفروض مايطلعونه الين يسوونله ربط بلسانه عشان يعرف ينطق زين,1
ليه عزمتوني,0
صداقيه غزليه,0
خبر عاجل الرياض غبار شديد الاثنين,0
مين يتابعه لحد وقفت الموسم السادس,0
سالفه سخيفه وقناه اسخف,1
هههه ليش خلينا نفوت نشرشحو لهل خنزير ابو الصرامي وئام,1
حرام عليكم والله نرفزني خبر مافيه لغه عربيه,0
انا حتجوز علشان مبعرفش افتح مواضيع,0
انواع الرعب صاب الخروف المسكين,0
اخر الزمان يكثر الاشكال مثلك,1
سوق الجمعه لجنه,0
هتوحشني,0
عمي بطططططططلووووو كذذذذببببببب,1
قصصصصصرت امحق عون,0
ياجماعه ترا الامر طبيعي شفت شخص حلو اعبر اعجابي سوا رجال بنت انقلعو استشرفوا وانتم تشوفون مكوه خقيتو هرامه شيبان,1
خليكم حملتكم اسود المدرج اهلاوي قدام التعاون,0
اسحب كلامي قرف بصري,1
فضحتينا ياست الاوبرا والباليه الاوبرا للغنا والموسيقي والباليه هوا اللي قلتيه,1
صدقتي فيهم وقاحه فضيعه مدري زريبه غنم خرجوا,1
ماتوقعتك تبيع الدم,0
يسلمو شرط ينباع نابع القلب مابكثر فلسفه,0
,0
يقزرها ابتسامات لين ينشات وايضا,0
بايع الكليجا تفاهت نشوف التفاهه الرابعه,1
بقولكوا ايه احنا اللي فينا مكفينا اللي هيبقي حياتنا ميجبلنا صداع واكتئاب ونكد اهلا بيه كده يغور يقعد جنب الاشكال الوسخه اللي عرفناها,1
السامج سالفه القاه,1
نبي تعليق دراسه حفر الباطن,0
لفتني عموما جزاه الله خير تنبيهه لنا والله يحفظه لان التعليقات كلها,0
تخيل تتجوز وحده حنونه وتقولك حبيبي امانه تزوج صاحبتي والله مسكينه,0
مالت وعليها,0
هههههههههههههههههههههه جاب الكلام لنفسه,0
مره خايس ينرفز احس جمال لابس كمامه اساس مايصورونه,1
الصوره هذي اكبر تاريخك ياطحلب,1
طفا الجوال وتوي اطلع المحاضره,0
تخيل اني امشيك كيفي حتي حياتك بكيفي واحط زقي وتروحه تاكله وتدري وتموت ووجهك زقي عمه,1
صححح,0
انتي بالبيت مفروض تشوفيها وانا بالجامعه رابط يوتيوب,0
هوا بوجهك هوا قليل ادب هيك الفاظ كول هوا ونقلع هون فاضي الك ولاشكال ابعتلك الصراحه وعفكره عرفتك وتفكرش,1
عليا برضو الكلام,0
افا ياسرحان,0
فيلم دقائق معدوده استغرق العمل شهرا فاز اضخم الجوائز والفيلم بدون محادثه,0
الواحد وين يحتفل وتانيب ضمير الدراسه وراه,0
ليليان ودنك حفيده صهيون ايوه ودنك ودن الخنزير قربي كده ايوه ايوه قربي كمان,1
نفاذ تذاكر مباراه الهلال يرحم امك احترم الفلوس اللي معاك,1
خلاص هدوا كلن فهم وبس بلا هواش,0
اللهم الحمد ياربي لاكن يومي ناقص والله وين الواسطات والظايف الزينه وظائف وظائف الجوازات وظائف نسائيه,0
قله ادب كود بايونيتا مايشتغل مايستحون,1
معنف قلوب ومشاعر مشجعي النادي الاهلي وينكم حقوق الانسان افضح معنفك,0
ياجدع انت فصيل ليه,0
المحنه محنه بايع الكليجا,1
اكره اكتم الضحكه زعلت ييعع خيرررر هههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههه,0
اتلهي,1
خلاص واضح انك بلا حياء,1
بيهاجمو جبران باسيل حقنا نرد ونقللن انو اعلامكم مرتهن وفاجر,1
اهنيك صملتك ومحاولاتك المتكرره جذب البنات هههههههههههههه ريحه,1
نبي عماله اخلص سوتهم انهم عايشين بالبارادايس اشوه شايفين شعبك شلون عايش تلجنا,1
ناس تمدح وناس تلعن ابو الحب تري حيرتوني احب اصبر شوي العتيبي قروب الهيلا للدعم قروب ذوق القصيد,0
لاقصي مراحل الس والشفاحه والاستخفاف البنت حياها يزيدها جمال الحين الله المستعان هزلت,1
يعني غباء يستخفون فينا طيب واللي بسوريا ايران وتدخلكم السافر سوريا شنو هالسياسه اللي تتبعها ايران انتقام,1
بكل وضوح شاهد دفاع ونصره اوردغان للاخوان المجرمين وضحت الرؤيه للمغفلين والمتعاطفين,1
مشوها يونيكورن,0
شتبين شوي حلوين بالله,0
حدا مرتد ولعين غيرك واطي,1
الايام تركض يخوف ماتستاهل نشيل متخيلين الاحد بكرا الثلاثاء قايله شيء جديد توني طالعه الدوام وزاقه معي,0
احنا هنخلص حوسه التذاكر وهنفضالكو كراااسي,1
لعبه الريال الاعاره فريق حطوه اساسي وبعدين معهم يكررون غلطه موراتا وخاميس,0
والله انت يحتاج طبيب نفسي وعساك تطيب,1
لازم يشيلو هالدوله يعطينا هوا نجس كلو جراثيم,1
بصراحه يستاهل اللي يطلع برنامج شعيب معروف شعيب يبي يستفز الشعب السعودي المفروض نصيحه للسعوديين لاحد يطلع برنامجه المخيس,1
عيب ورب الكعبه عيب وخير طير وحلو مايسوا افشل اهلي وانزل مستوي تربيتهم عشان اخق انا اكبر والله صراحه البنات صارو يمحنو العلن مرض شاء الله يغبن زياده ترند بايع الكليجا,1
يالتسذوب تعرفه لاتنسي الهديه واهم حلويات,0
عيب اللحيه خلق رباني المكياج صنع بشر اكيد,0
قولي لضيفك يبلع ريقو احسن يتسمم مقبول الحقد هلقد الشيعه,1
ههههههههههههههههههههههههههههه متتت الزود ونظراته تذبح,0
المنظمه,0
اللي يصورون نفسهم وهم ينصحون البنات تري اشكالكم مقززه بايع الكليجا,1
بايع الكليجا والله قله حياء الحين صارو البنات يستحو ارجال يستحي ويغطي والبنت تجيك فاتحه عيونها مترين,1
حمله ادعم ناديك ضحك واستغلال لعواطف الجماهير العاشقه والنتيجه معروفه والمستفيد,0
يعتبر تحرش وانا معاه يبي محاميه تدافع حقه وتعاقب المصورات اخذ كله لوجه الله,0
خخخخخخخخخخخخخخخخخخ جاهز ياسفاح معي قايمه اغتيالات جديده,1
ماضيعت البنات تاخذ وحده ترقص بالشارع وععع التفكير المنحدر المذله اللي عايشينها,1
استغفر الله شفنا حقاره حقارتكم ماشفنا فليقل خيرا ليصمت عندك تواسي الرجال اكتب اذلف يالطبل,1
كلهم ههه,0
طيب ليش حاطه التسليم الدفع المفروض ادفع بعدين استلم طريقتها مضحكه غبيه,1
استضفتوا كاس العالم بييك الخبر شاء الله سحب تنظيم مونديال كاس العالم جطر دعم الباكستاني حمد للارهاب,1
معليش انا والله مااحب الكليجا والله ولاعمري ااكلتها الله يكرم النعمه,0
تستطيع تنتقد التصرف المخجل البنات وتستطيع تنتقد التصرف المخجل سابقا الرجال واجزم تحصل رتويت تنتقد طرف اخر تحس ظهورك غباء ماله,1
حدهم يزعلوا ينزلوا شيلات ازعاج وصراخ الفاضي وفاشله شيله قطر وقطر ساحبه عليهم شيلاتهم,0
اتمني قلبي يعدي هالترم باسرع مايمكن,0
وجه,0
مدرسه عريقه ومعروفه ورسومهم الدارسيه ماتقل وحاطين تقديمات للامهات حلاو وجالكسي جواهر ياخزياااه,1
يربط هالجحش,1
يعقب يعقب الخليفي ويعقب نيمار الخليفي مبهذل برشلونه والان خايف مدريد الواطي,1
بايع الكليجا خلاصصص يالمشفوحات فشلتننا سمح لهن يصورن بدون استاذن قليلات الحياء حتي مستحي وهن سعه وجهه الحمددلله عافانا,1
بايع الكليجا بالله العلي العظيم العينات الموجوده لاتمثل بناتنا الطاهرات الشريفات العفيفات,1
عاهات بزمنكم كانوا يصولون ويجولون شرق اسيا ختاما بعالميه سوباولو البرازيلي وانت بعز مستواك حققت الدوري سنه عاجفه بالضحك والطقطقه عليكم,1
السوشيال ميديا بقي ممل جداا,0
صلاه الجنازه القادمه انت شاء الله,1
المشكله تسمع الكلام ينقال وحده تقوله بكم المعمول ياعسل,0
اله يقلعكم يالبدو مجرمين خراب المجتمعات طفيليات نافعه تضر المجتمعات ابوكم ابو قبايلكم الزق,1
تففففف الاء,1
تعمم البنات تنكه,1
تروحون بعيد اسمع حقات بدايه ماني مصصصصدقه واسمع شهقتها الحين تطورن انا منول احسب لازم يطلع فالتلفزيون الحين ودب عوارض الله يعجل بقانون التحرش وعل الابواب شاء الله الله يلعنكن اقسم بالله يوميا نشوف فالواقع اطلق راع الكليجا بايع الكليجا,1
تتعرف حدا بتحسو معزوفه نادره هادئه بلحن رائع اخر بيطلع تيرشرش بلا مزح,1
قلتوها ريتويت وبلاد حاكمها متعود السرقه بيسرقون حراميه قلالي,1
بايع الكليجا سلامات الضجه الرجال سلامات بنات استحوا شوي عيييب اللي يصير والله,0
تويتر قاعد يتلوث بالتعليقات الردود المليانه كراهيه حقد بغض,1
نظره سريعه الجيل الضايع صور حفل هارد روك العاصمه عبده الشيطان روحي يابلادي روحي جيل ديوث للاسف,1
فراس الخطيب كلب خاين لدماء الشهداء,1
عندك الجديد قولوا تبقي تعاودلي متخليين اصلكم منعرف,0
طلع كلب تفووووو السومه والله كنت بحبو للاسف طلع خاين لبلده واهله وناسه,1
اخلاقنا بقياده السياره الكل يحترم ويفسح الطريق,0
اصبحت محاربه قيم مبادئ عادات تقاليد وهويه وخصوصيه المجتمع موضه التمرد حريه الخروج النص ثقافه فكر تبا لكم بقدر شوهتوا المفردات معانيها,1
دعه زانن رجال,0
ليه التحجيم اخي قول اللهم افرحنا يفرحك قدره جلاله قدر دعوتك,0
واتوقع بجي بيتخلون عنكم وتصبحون الكلاب الخارج,1
باين حاجه خالص عارف بقي,0
اقتلو البنات لتنتهي احزان الرجال وحده خلووها,1
مقززززه كانه شعر اباط,1
يلعن اخت العسكر عرص بيجي وراهم دمار البلدان,1
يااااارب ماتكون قويه يارب ماتحرمه الاياب عيون ماتذكر الله شكله كافاني حسبي الله عليههه,0
محوا تغريداتكم جهله,1
حقييره,1
الحين ابوك يتعب ويربيك ويعلمك المرجله سنه واخرتها تحط لايك لاظافر البنات بالانستجرام,1
يلا موكوسين بتوع عبد الصمد,1
رجال حماره اهلك ويلزمنا عملنا بلبس الباس السعودي الرسمي والامن لبس موحد معين والشركات لبس محد وراح يحصل استغلال تعراء وتميع وتبيع السلع الخرفان باضعاف مضاعفه الخوف ذالك يجبرهم الامر,1
هرب هوي جبان,1
بالمناسبه مورينهو مدرب جبان لوكاكو بعلوقيه سمالينج بني ادم راس كلب لينجارد حسبي الله ونعم والوكيل,1
والله عشان العشرره بضحك ههههه عشره خمسه اعلمك السخافه اصولها,1
امحق منشن,0
بايع الكليجا عطيتم الحريه وللاسف تصرف لائق ابدا,0
جبران باسيل سيجله التاريخ كواحد اسوا واوسخ السياسيين الطائفيين وسفهاء الراي لبنان واكثرهم نجاسه وغباء فعلا,1
عطوه اكبر حجمه,1
لاتمدين البووز,0
انتم اللي ولاد كلب الزعيم الخالد جمال عبدالناصر الاذاعه البريطانيه الله يرحمك كنت جريده حره,1
اقول زلابه سافله حمد اله متوجه لجمهور النصر سافله يسوي لجمهوره جاء يشجعه حركات منحطه حركات نواف العابد,1
عروس طقعت قصد عريسها العريس انكتم وعشان مايحرجها ابوي طقعت حرمتك عرسك بتجيب ولد,1
بتتتتت,0
اسكت انا هستناك نااار يسطااا,0
كيفهم سنو وعشر المباراه مباراه كره قدم عرس حريم عشان نلعب وعشر بالليل يقولون لازم اللاعب يسهر وهم يسهرونه يلعب دول العالم تلعب وحده الظهر وثنتين وثلاث واربع الظهر واحنا يسهرونا لانصاف الليالي الملاعب,1
يعع هالسامج توي شايفه مقطع بالانستا,1
انا جامعتكم الزفت,1
اللهم عافنا صارت الحرمه ماتستحي عيب والله احترمي الرجال وراك بايع الكليجا,1
اصطبحي وقولي صبح,0
تصوير وزقه التصويت وغرضها النت قضيه محامي بتاع القانون حتقول حسابي اتسرق ايه انت لابسه انت لسه شغال قهوجي,1
الك,1
توي الناس,0
اني احبك رغم انف قبيلتي مدينتي سلاسل العادات لكنني اخشي بعت الجميع تبيعني فاعود بالخيبات الخير وخلاص,0
اقول انقلع ولاتفكر وجع,1
المشكله انتي البتخجي,0
لازم يدخل السجن انت ايها المفتن,1
بايع الكليجا والنعم فكرت ابيع كليجا خايف الاسبانيات يخقون لاني اجمل الله يعين اللي يشتهر بنات ايامه تعيسه,1
ريحه المستشفي,0
شكرا,0
الانحلال اللي خفنا بايع الكليجا,1
منتحلهه شخصيتهااا,0
الطم انا يعني,0
اموت خليك اثق انت الحلم الوحيد اللي نفسي اوصله,0
صاحيه النوم فيني محنه منو يطفيها محنه ممحونه كسي مكوه طيز شيميل بنوتي ليز سحاق ديوث دياثه قحبه,1
اثبت بتغريداتك انك تكره العالمي محلي مسياري دايم العميد يخليك تظهر حقيقتك,1
تركيا دوله مسلمه منت بقد افعالها ومعاركها وانتصارتها انتو حدكم عرعر تحفطون ورا الكلاب السلق ياكلاب الصج ركضتوا السودان وبعدين البتان يحمونكم خلكم زقكم ابو فهد الاستخراء انتو منتوا بكفوا تحاربون ايران تركيا انتو حوثين اربع سنين ماقدرتوا,1
انا مبحبش الغبااااء اللي الصبح,1
اخدت الحبه تبعت الهستيريا خدا عجل لعمي هبيله,1
اخرتها معاكم يابنان,0
ننكر انوه حلوه البنات طيروهه الزود,0
عمران طفل حلب خرج الانقاض ليحرج الانسانيه بعدان نجامن قصف طائرات روسيا المجرمه وبراميل الاسد القاتل,1
مانرد الرجال وانت فهم هههه,1
خلاص اشغلتنا,0
ايي والله فريق جديد واداره جديده ماخربها,1
تذكرني بعدها نمت وتوي اصحي,0
مينوز تطلع الهريدي الجواي حيطخك والله,0
